dbn,school_name,complaints,material_incidents
26Q495,Bayside High School,7,0
26Q566,"Queens High School of Teaching, Liberal Arts and t",10,0
27Q260,Frederick Douglass Academy VI High School,0,0
27Q261,Voyages Prep - South Queens,0,0
27Q302,"Queens High School for Information, Research, and",0,0
27Q308,Robert H. Goddard High School of Communication Art,6,0
27Q324,Rockaway Park High School for Environmental Sustai,0,0
27Q351,Rockaway Collegiate High School,0,0
27Q400,August Martin High School,6,0
27Q480,John Adams High School,26,21
27Q650,"High School for Construction Trades, Engineering a",0,0
28Q325,Hillside Arts & Letters Academy,0,0
28Q338,Queens Satellite High School for Opportunity,0,0
28Q350,Jamaica Gateway to the Sciences,0,0
28Q440,Forest Hills High School,9,0
28Q620,Thomas A. Edison Career and Technical Education Hi,0,0
28Q686,Queens Metropolitan High School,12,0
28Q690,High School for Law Enforcement and Public Safety,6,0
29Q243,Institute for Health Professions at Cambria Height,0,0
29Q248,Queens Preparatory Academy,9,0
29Q265,Excelsior Preparatory High School,0,0
29Q272,George Washington Carver High School for the Scien,0,0
29Q313,Benjamin Franklin High School for Finance & Inform,0,0
29Q326,Cambria Heights Academy,9,0
29Q492,"Mathematics, Science Research and Technology Magne",0,0
30Q258,Energy Tech High School,0,0
30Q301,Academy for Careers in Television and Film,0,0
30Q445,William Cullen Bryant High School,28,7
30Q450,Long Island City High School,0,0
30Q502,Information Technology High School,6,0
30Q555,Newcomers High School,7,6
30Q575,Academy of American Studies,0,0
31R047,CSI High School for International Studies,0,0
31R064,Gaynor McCown Expeditionary Learning School,0,0
31R440,New Dorp High School,16,14
31R445,Port Richmond High School,14,0
31R450,Curtis High School,12,9
31R455,Tottenville High School,7,0
31R460,Susan E. Wagner High School,36,0
31R470,Concord High School,0,0
31R600,Ralph R. McKee Career and Technical Education High,12,0
31R605,Staten Island Technical High School,0,0
32K168,The Brooklyn School for Math and Research,0,0
32K403,Academy for Environmental Leadership,0,0
32K556,Bushwick Leaders High School for Academic Excellen,15,0
32K564,Bushwick Community High School,15,6
75K721,P.S. K721 - Brooklyn Occupational Training Center,0,0
75K753,P.S. K753 - School for Career Development,0,0
75Q752,Queens Transition Center,0,0
75X754,J. M. Rapport School Career Development,0,0
79Q344,East River Academy,0,0
79Q950,Pathways to Graduation,11,7
